Country,Philippines
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,1
01/31/2020,1
02/01/2020,1
02/02/2020,2
02/03/2020,2
02/04/2020,2
02/05/2020,2
02/06/2020,2
02/07/2020,3
02/08/2020,3
02/09/2020,3
02/10/2020,3
02/11/2020,3
02/12/2020,3
02/13/2020,3
02/14/2020,3
02/15/2020,3
02/16/2020,3
02/17/2020,3
02/18/2020,3
02/19/2020,3
02/20/2020,3
02/21/2020,3
02/22/2020,3
02/23/2020,3
02/24/2020,3
02/25/2020,3
02/26/2020,3
02/27/2020,3
02/28/2020,3
02/29/2020,3
03/01/2020,3
03/02/2020,3
03/03/2020,3
03/04/2020,3
03/05/2020,3
03/06/2020,5
03/07/2020,6
03/08/2020,10
03/09/2020,20
03/10/2020,33
03/11/2020,49
03/12/2020,52
03/13/2020,64
03/14/2020,111
03/15/2020,140
03/16/2020,142
03/17/2020,187
03/18/2020,202
03/19/2020,217
03/20/2020,230
03/21/2020,307
